/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-18 22:53:34:801 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-18 22:53:44:743 10 sec: 36 operations; 3.6 current ops/sec; est completion in 46 minutes [READ: Count=16, Max=311807, Min=49472, Avg=117348, 90=196351, 99=311807, 99.9=311807, 99.99=311807] [UPDATE: Count=20, Max=2016255, Min=91264, Avg=270480, 90=264703, 99=2016255, 99.9=2016255, 99.99=2016255] 
2021-09-18 22:53:54:742 20 sec: 69 operations; 3.3 current ops/sec; est completion in 47 minutes [READ: Count=15, Max=174719, Min=49088, Avg=91636.27, 90=170879, 99=174719, 99.9=174719, 99.99=174719] [UPDATE: Count=18, Max=7835647, Min=88640, Avg=586586.67, 90=202623, 99=7835647, 99.9=7835647, 99.99=7835647] 
2021-09-18 22:54:04:742 30 sec: 152 operations; 8.3 current ops/sec; est completion in 32 minutes [READ: Count=38, Max=162687, Min=48704, Avg=84954.11, 90=105855, 99=162687, 99.9=162687, 99.99=162687] [UPDATE: Count=45, Max=304895, Min=84544, Avg=151182.93, 90=202879, 99=304895, 99.9=304895, 99.99=304895] 
2021-09-18 22:54:14:742 40 sec: 233 operations; 8.1 current ops/sec; est completion in 27 minutes [READ: Count=40, Max=198783, Min=49024, Avg=94561.6, 90=168959, 99=198783, 99.9=198783, 99.99=198783] [UPDATE: Count=41, Max=206591, Min=62080, Avg=152698.15, 90=200319, 99=206591, 99.9=206591, 99.99=206591] 
2021-09-18 22:54:24:742 50 sec: 312 operations; 7.9 current ops/sec; est completion in 25 minutes [READ: Count=43, Max=179711, Min=48352, Avg=83088.37, 90=149631, 99=179711, 99.9=179711, 99.99=179711] [UPDATE: Count=36, Max=199423, Min=57696, Avg=127727.56, 90=191871, 99=199423, 99.9=199423, 99.99=199423] 
2021-09-18 22:54:34:742 60 sec: 398 operations; 8.6 current ops/sec; est completion in 24 minutes [READ: Count=43, Max=168831, Min=47264, Avg=73707.91, 90=98303, 99=168831, 99.9=168831, 99.99=168831] [UPDATE: Count=43, Max=2600959, Min=79168, Avg=200337.86, 90=200447, 99=2600959, 99.9=2600959, 99.99=2600959] 
2021-09-18 22:54:44:742 70 sec: 476 operations; 7.8 current ops/sec; est completion in 23 minutes [READ: Count=41, Max=162047, Min=47360, Avg=83130.93, 90=102911, 99=162047, 99.9=162047, 99.99=162047] [UPDATE: Count=37, Max=200447, Min=83200, Avg=145379.46, 90=195583, 99=200447, 99.9=200447, 99.99=200447] 
2021-09-18 22:54:54:742 80 sec: 540 operations; 6.4 current ops/sec; est completion in 23 minutes [READ: Count=33, Max=171775, Min=48896, Avg=90636.12, 90=147967, 99=171775, 99.9=171775, 99.99=171775] [UPDATE: Count=31, Max=3876863, Min=77888, Avg=262957.42, 90=203263, 99=3876863, 99.9=3876863, 99.99=3876863] 
2021-09-18 22:55:04:742 90 sec: 577 operations; 3.7 current ops/sec; est completion in 24 minutes [READ: Count=19, Max=168191, Min=48960, Avg=91920, 90=141311, 99=168191, 99.9=168191, 99.99=168191] [UPDATE: Count=18, Max=4354047, Min=87616, Avg=386883.56, 90=200575, 99=4354047, 99.9=4354047, 99.99=4354047] 
2021-09-18 22:55:14:742 100 sec: 634 operations; 5.7 current ops/sec; est completion in 24 minutes [READ: Count=30, Max=168831, Min=48576, Avg=86269.87, 90=102975, 99=168831, 99.9=168831, 99.99=168831] [UPDATE: Count=27, Max=2762751, Min=81600, Avg=250558.81, 90=198783, 99=2762751, 99.9=2762751, 99.99=2762751] 
2021-09-18 22:55:24:742 110 sec: 651 operations; 1.7 current ops/sec; est completion in 26 minutes [READ: Count=9, Max=163071, Min=48864, Avg=81928.89, 90=93055, 99=163071, 99.9=163071, 99.99=163071] [UPDATE: Count=8, Max=10125311, Min=96832, Avg=1406748, 90=196735, 99=10125311, 99.9=10125311, 99.99=10125311] 
