/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-19 00:10:05:820 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-19 00:10:15:771 10 sec: 58 operations; 5.8 current ops/sec; est completion in 28 minutes [READ: Count=26, Max=199039, Min=48448, Avg=88347.69, 90=114367, 99=199039, 99.9=199039, 99.99=199039] [UPDATE: Count=32, Max=346367, Min=54720, Avg=173303.5, 90=304639, 99=346367, 99.9=346367, 99.99=346367] 
2021-09-19 00:10:25:770 20 sec: 103 operations; 4.5 current ops/sec; est completion in 32 minutes [READ: Count=21, Max=183423, Min=49248, Avg=83149.71, 90=122687, 99=183423, 99.9=183423, 99.99=183423] [UPDATE: Count=25, Max=4321279, Min=80448, Avg=391554.56, 90=220287, 99=4321279, 99.9=4321279, 99.99=4321279] 
2021-09-19 00:10:35:770 30 sec: 172 operations; 6.9 current ops/sec; est completion in 28 minutes [READ: Count=29, Max=160639, Min=48448, Avg=90597.52, 90=120191, 99=160639, 99.9=160639, 99.99=160639] [UPDATE: Count=39, Max=1741823, Min=77632, Avg=188027.9, 90=194943, 99=1741823, 99.9=1741823, 99.99=1741823] 
2021-09-19 00:10:45:770 40 sec: 263 operations; 9.1 current ops/sec; est completion in 24 minutes [READ: Count=46, Max=193663, Min=48384, Avg=81768.35, 90=105087, 99=193663, 99.9=193663, 99.99=193663] [UPDATE: Count=45, Max=208767, Min=81536, Avg=137573.69, 90=198399, 99=208767, 99.9=208767, 99.99=208767] 
2021-09-19 00:10:55:770 50 sec: 330 operations; 6.7 current ops/sec; est completion in 24 minutes [READ: Count=30, Max=131839, Min=48576, Avg=88427.73, 90=115519, 99=131839, 99.9=131839, 99.99=131839] [UPDATE: Count=37, Max=202879, Min=82560, Avg=139566.7, 90=191743, 99=202879, 99.9=202879, 99.99=202879] 
2021-09-19 00:11:05:770 60 sec: 391 operations; 6.1 current ops/sec; est completion in 24 minutes [READ: Count=24, Max=192383, Min=47744, Avg=80530, 90=104383, 99=192383, 99.9=192383, 99.99=192383] [UPDATE: Count=37, Max=3674111, Min=87360, Avg=274443.24, 90=196223, 99=3674111, 99.9=3674111, 99.99=3674111] 
2021-09-19 00:11:15:770 70 sec: 449 operations; 5.8 current ops/sec; est completion in 24 minutes [READ: Count=28, Max=194175, Min=47616, Avg=89692, 90=151295, 99=194175, 99.9=194175, 99.99=194175] [UPDATE: Count=30, Max=3301375, Min=77568, Avg=251198.93, 90=202879, 99=3301375, 99.9=3301375, 99.99=3301375] 
2021-09-19 00:11:25:770 80 sec: 535 operations; 8.6 current ops/sec; est completion in 23 minutes [READ: Count=40, Max=190591, Min=48416, Avg=82510, 90=110015, 99=190591, 99.9=190591, 99.99=190591] [UPDATE: Count=46, Max=217727, Min=76160, Avg=145844.87, 90=194175, 99=217727, 99.9=217727, 99.99=217727] 
2021-09-19 00:11:35:770 90 sec: 581 operations; 4.6 current ops/sec; est completion in 24 minutes [READ: Count=18, Max=168063, Min=48064, Avg=80793.78, 90=90879, 99=168063, 99.9=168063, 99.99=168063] [UPDATE: Count=28, Max=195071, Min=73408, Avg=130205.71, 90=182655, 99=195071, 99.9=195071, 99.99=195071] 
2021-09-19 00:11:45:770 100 sec: 619 operations; 3.8 current ops/sec; est completion in 25 minutes [READ: Count=19, Max=188543, Min=48896, Avg=84757.05, 90=155391, 99=188543, 99.9=188543, 99.99=188543] [UPDATE: Count=19, Max=6815743, Min=51136, Avg=694660.21, 90=194687, 99=6815743, 99.9=6815743, 99.99=6815743] 
2021-09-19 00:11:55:770 110 sec: 669 operations; 5 current ops/sec; est completion in 25 minutes [READ: Count=24, Max=168191, Min=47584, Avg=84907.33, 90=108223, 99=168191, 99.9=168191, 99.99=168191] [UPDATE: Count=26, Max=4931583, Min=66880, Avg=307440, 90=160639, 99=4931583, 99.9=4931583, 99.99=4931583] 
