/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-19 02:47:27:336 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-19 02:47:37:279 10 sec: 60 operations; 6 current ops/sec; est completion in 27 minutes [READ: Count=30, Max=344831, Min=46816, Avg=104941.33, 90=177023, 99=344831, 99.9=344831, 99.99=344831] [UPDATE: Count=30, Max=1611775, Min=68416, Avg=206901.33, 90=221951, 99=1611775, 99.9=1611775, 99.99=1611775] 
2021-09-19 02:47:47:278 20 sec: 146 operations; 8.6 current ops/sec; est completion in 22 minutes [READ: Count=47, Max=225151, Min=46848, Avg=89180.26, 90=153087, 99=225151, 99.9=225151, 99.99=225151] [UPDATE: Count=39, Max=216319, Min=59456, Avg=147938.46, 90=204287, 99=216319, 99.9=216319, 99.99=216319] 
2021-09-19 02:47:57:278 30 sec: 176 operations; 3 current ops/sec; est completion in 27 minutes [READ: Count=13, Max=167807, Min=48576, Avg=88999.38, 90=140159, 99=167807, 99.9=167807, 99.99=167807] [UPDATE: Count=17, Max=3956735, Min=59168, Avg=520415.06, 90=205311, 99=3956735, 99.9=3956735, 99.99=3956735] 
2021-09-19 02:48:07:278 40 sec: 202 operations; 2.6 current ops/sec; est completion in 32 minutes [READ: Count=8, Max=93055, Min=49440, Avg=63194, 90=81151, 99=93055, 99.9=93055, 99.99=93055] [UPDATE: Count=18, Max=212095, Min=86272, Avg=159297.78, 90=198015, 99=212095, 99.9=212095, 99.99=212095] 
2021-09-19 02:48:17:278 50 sec: 222 operations; 2 current ops/sec; est completion in 36 minutes [READ: Count=9, Max=192895, Min=49504, Avg=97998.22, 90=167295, 99=192895, 99.9=192895, 99.99=192895] [UPDATE: Count=11, Max=9928703, Min=105024, Avg=1431528.73, 90=3045375, 99=9928703, 99.9=9928703, 99.99=9928703] 
2021-09-19 02:48:27:278 60 sec: 260 operations; 3.8 current ops/sec; est completion in 37 minutes [READ: Count=20, Max=199935, Min=47776, Avg=92065.6, 90=140159, 99=199935, 99.9=199935, 99.99=199935] [UPDATE: Count=18, Max=209023, Min=83008, Avg=145187.56, 90=199295, 99=209023, 99.9=209023, 99.99=209023] 
2021-09-19 02:48:37:278 70 sec: 276 operations; 1.6 current ops/sec; est completion in 41 minutes [READ: Count=8, Max=91199, Min=80576, Avg=88232, 90=90815, 99=91199, 99.9=91199, 99.99=91199] [UPDATE: Count=8, Max=9052159, Min=68864, Avg=1250828, 90=195455, 99=9052159, 99.9=9052159, 99.99=9052159] 
2021-09-19 02:48:47:278 80 sec: 361 operations; 8.5 current ops/sec; est completion in 35 minutes [READ: Count=40, Max=176511, Min=47776, Avg=78348.8, 90=94015, 99=176511, 99.9=176511, 99.99=176511] [UPDATE: Count=45, Max=5779455, Min=68288, Avg=259347.2, 90=197631, 99=5779455, 99.9=5779455, 99.99=5779455] 
2021-09-19 02:48:57:278 90 sec: 418 operations; 5.7 current ops/sec; est completion in 34 minutes [READ: Count=37, Max=198271, Min=47264, Avg=83836.54, 90=91327, 99=198271, 99.9=198271, 99.99=198271] [UPDATE: Count=20, Max=580095, Min=87296, Avg=179331.2, 90=205439, 99=580095, 99.9=580095, 99.99=580095] 
2021-09-19 02:49:07:278 100 sec: 420 operations; 0.2 current ops/sec; est completion in 38 minutes [READ: Count=1, Max=87167, Min=87104, Avg=87136, 90=87167, 99=87167, 99.9=87167, 99.99=87167] [UPDATE: Count=1, Max=7167999, Min=7163904, Avg=7165952, 90=7167999, 99=7167999, 99.9=7167999, 99.99=7167999] 
2021-09-19 02:49:17:278 110 sec: 471 operations; 5.1 current ops/sec; est completion in 37 minutes [READ: Count=20, Max=189823, Min=48768, Avg=88749.6, 90=110975, 99=189823, 99.9=189823, 99.99=189823] [UPDATE: Count=31, Max=7135231, Min=74752, Avg=457485.42, 90=205311, 99=7135231, 99.9=7135231, 99.99=7135231] 
