/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-18 10:51:51:325 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-18 10:52:01:268 10 sec: 59 operations; 5.9 current ops/sec; est completion in 28 minutes [READ: Count=24, Max=271103, Min=48480, Avg=105450, 90=162815, 99=271103, 99.9=271103, 99.99=271103] [UPDATE: Count=35, Max=418559, Min=87744, Avg=163860.11, 90=213247, 99=418559, 99.9=418559, 99.99=418559] 
2021-09-18 10:52:11:268 20 sec: 69 operations; 1 current ops/sec; est completion in 47 minutes [READ: Count=5, Max=87871, Min=47392, Avg=57593.6, 90=87871, 99=87871, 99.9=87871, 99.99=87871] [UPDATE: Count=5, Max=10158079, Min=135168, Avg=2154828.8, 90=10158079, 99=10158079, 99.9=10158079, 99.99=10158079] 
2021-09-18 10:52:21:268 30 sec: 162 operations; 9.3 current ops/sec; est completion in 30 minutes [READ: Count=49, Max=176895, Min=47360, Avg=85196.08, 90=110207, 99=176895, 99.9=176895, 99.99=176895] [UPDATE: Count=44, Max=203263, Min=61216, Avg=131524.73, 90=190719, 99=203263, 99.9=203263, 99.99=203263] 
2021-09-18 10:52:31:268 40 sec: 252 operations; 9 current ops/sec; est completion in 25 minutes [READ: Count=48, Max=180351, Min=46272, Avg=83019.67, 90=108415, 99=180351, 99.9=180351, 99.99=180351] [UPDATE: Count=42, Max=217215, Min=62592, Avg=143372.57, 90=195711, 99=217215, 99.9=217215, 99.99=217215] 
2021-09-18 10:52:41:268 50 sec: 289 operations; 3.7 current ops/sec; est completion in 28 minutes [READ: Count=14, Max=137343, Min=51360, Avg=88998.86, 90=126079, 99=137343, 99.9=137343, 99.99=137343] [UPDATE: Count=23, Max=194303, Min=75456, Avg=134331.83, 90=191359, 99=194303, 99.9=194303, 99.99=194303] 
2021-09-18 10:52:51:268 60 sec: 355 operations; 6.6 current ops/sec; est completion in 27 minutes [READ: Count=36, Max=181887, Min=46784, Avg=87784.89, 90=147199, 99=181887, 99.9=181887, 99.99=181887] [UPDATE: Count=30, Max=8347647, Min=71616, Avg=415064.53, 90=201215, 99=8347647, 99.9=8347647, 99.99=8347647] 
2021-09-18 10:53:01:268 70 sec: 415 operations; 6 current ops/sec; est completion in 26 minutes [READ: Count=29, Max=140287, Min=47136, Avg=81568, 90=106431, 99=140287, 99.9=140287, 99.99=140287] [UPDATE: Count=31, Max=3362815, Min=73856, Avg=245972.65, 90=191487, 99=3362815, 99.9=3362815, 99.99=3362815] 
2021-09-18 10:53:11:268 80 sec: 486 operations; 7.1 current ops/sec; est completion in 26 minutes [READ: Count=30, Max=173183, Min=47648, Avg=85280, 90=105023, 99=173183, 99.9=173183, 99.99=173183] [UPDATE: Count=41, Max=1982463, Min=81152, Avg=179480.2, 90=195327, 99=1982463, 99.9=1982463, 99.99=1982463] 
2021-09-18 10:53:21:268 90 sec: 497 operations; 1.1 current ops/sec; est completion in 28 minutes [READ: Count=5, Max=88767, Min=49408, Avg=73782.4, 90=88767, 99=88767, 99.9=88767, 99.99=88767] [UPDATE: Count=6, Max=8978431, Min=84992, Avg=1616624, 90=187775, 99=8978431, 99.9=8978431, 99.99=8978431] 
2021-09-18 10:53:31:268 100 sec: 549 operations; 5.2 current ops/sec; est completion in 28 minutes [READ: Count=17, Max=182527, Min=47520, Avg=80230.59, 90=103999, 99=182527, 99.9=182527, 99.99=182527] [UPDATE: Count=35, Max=3895295, Min=47584, Avg=246354.29, 90=192511, 99=3895295, 99.9=3895295, 99.99=3895295] 
2021-09-18 10:53:41:268 110 sec: 615 operations; 6.6 current ops/sec; est completion in 27 minutes [READ: Count=37, Max=179199, Min=47744, Avg=84116.76, 90=115711, 99=179199, 99.9=179199, 99.99=179199] [UPDATE: Count=29, Max=2955263, Min=78400, Avg=234020.41, 90=196479, 99=2955263, 99.9=2955263, 99.99=2955263] 
