index,database,replication_factor,recordcount,workload,execution,start,end,duration,rpi3_01,rpi3_02,rpi3_03,rpi3_04,rpi3_05,rpi3_06,rpi3_07,rpi3_08,rpi3_09,rpi3_10,rpi3_11,rpi3_12,rpi3_13,rpi3_14,rpi3_15
0,hbase,1,1000000,a,1,10-09-21 15:55:16,10-09-21 16:00:16,300.0,5.439,6.017,10.367,5.332,13.3,5.568,3.799,5.162,5.124,3.854,4.174,4.46,7.635,4.446,11.128
1,hbase,1,1000000,a,2,10-09-21 16:10:34,10-09-21 16:13:46,192.0,5.579,4.937,10.328,4.764,20.713,5.67,3.499,4.7,4.677,2.844,3.98,4.264,4.063,4.081,9.85
2,hbase,1,1000000,a,3,10-09-21 16:23:07,10-09-21 16:26:10,183.0,5.452,5.037,4.199,4.928,21.793,5.78,3.67,4.987,5.023,2.943,4.371,4.541,4.336,4.395,20.449
3,hbase,1,1000000,a,4,10-09-21 16:37:10,10-09-21 16:40:40,210.0,5.927,11.759,4.044,4.433,34.638,5.889,3.376,4.433,15.312,3.184,17.178,5.105,4.527,3.965,40.95
4,hbase,1,1000000,a,5,10-09-21 16:51:12,10-09-21 16:55:43,271.0,4.011,3.219,8.696,8.619,74.208,5.926,22.082,5.461,3.748,4.329,3.205,3.089,3.208,6.689,21.857
5,hbase,1,1000000,a,6,10-09-21 17:06:43,10-09-21 17:09:30,167.0,4.871,4.125,3.849,3.947,5.171,5.702,3.324,4.096,4.035,2.761,3.606,3.665,3.84,3.71,3.94
6,hbase,1,1000000,a,7,10-09-21 17:21:07,10-09-21 17:25:39,272.0,15.407,7.422,9.867,4.295,18.234,5.596,3.361,13.204,13.744,2.711,9.556,3.664,3.596,3.747,10.394
7,hbase,1,1000000,a,8,10-09-21 17:42:59,10-09-21 17:48:09,310.0,15.656,12.755,10.114,5.792,26.405,5.613,3.407,14.222,14.52,2.616,10.2,3.865,8.922,10.182,15.21
8,hbase,1,1000000,a,9,10-09-21 17:59:08,10-09-21 18:03:04,236.0,5.506,5.149,10.088,4.974,17.152,5.944,3.491,6.753,4.536,2.716,5.463,4.175,4.013,4.226,8.792
9,hbase,1,1000000,a,10,10-09-21 18:12:39,10-09-21 18:15:45,186.0,5.344,5.001,10.506,4.694,10.461,5.65,3.582,4.747,4.641,2.749,4.013,4.158,3.821,4.096,12.963
10,hbase,1,1000000,a,11,10-09-21 18:25:57,10-09-21 18:28:59,182.0,5.78,5.169,5.741,5.116,12.086,5.743,3.808,4.577,4.829,2.751,3.936,4.26,3.803,4.21,15.572
11,hbase,1,1000000,a,12,10-09-21 18:39:05,10-09-21 18:42:54,229.0,5.676,5.272,6.303,5.097,11.183,5.679,3.583,4.62,4.694,2.883,3.987,4.093,3.884,4.226,19.206
12,hbase,1,1000000,a,13,10-09-21 18:53:27,10-09-21 18:56:18,171.0,11.99,6.309,10.599,4.222,28.432,6.006,7.089,17.665,21.046,4.237,16.141,4.033,18.105,16.871,16.683
13,hbase,1,1000000,a,14,10-09-21 19:06:41,10-09-21 19:10:02,201.0,5.128,4.488,3.798,4.167,4.77,5.648,3.337,4.431,4.226,2.796,3.535,3.726,4.02,3.935,4.309
14,hbase,1,1000000,a,15,10-09-21 19:20:57,10-09-21 19:25:49,292.0,15.561,4.924,4.065,9.367,6.642,5.722,3.587,4.821,4.572,4.925,9.655,10.776,10.242,12.927,16.012
15,hbase,1,1000000,a,16,10-09-21 19:36:40,10-09-21 19:48:24,704.0,15.785,4.58,10.104,10.791,21.83,5.648,3.479,12.211,13.513,2.895,9.825,10.142,10.114,12.121,17.526
16,hbase,1,1000000,a,17,10-09-21 20:09:14,10-09-21 20:12:27,193.0,5.474,4.827,10.862,4.496,18.457,5.812,3.534,4.786,4.279,2.713,3.942,4.03,3.876,4.249,12.022
17,hbase,1,1000000,a,18,10-09-21 20:22:44,10-09-21 20:26:58,254.0,5.37,4.972,5.931,4.611,20.191,5.639,3.592,4.631,4.508,2.761,4.283,4.023,3.917,4.235,17.759
18,hbase,1,1000000,a,19,10-09-21 20:37:59,10-09-21 20:41:56,237.0,5.153,4.319,10.101,4.319,11.564,5.614,3.741,4.497,4.606,2.694,4.622,4.148,4.077,4.153,11.699
19,hbase,1,1000000,a,20,10-09-21 20:52:53,10-09-21 20:56:34,221.0,4.52,21.598,8.224,3.524,25.446,6.139,3.219,12.027,23.641,6.882,46.159,24.405,11.142,9.922,33.947
20,hbase,1,1000000,a,21,10-09-21 21:07:05,10-09-21 21:10:10,185.0,4.956,4.227,3.525,3.468,13.017,5.766,3.132,3.774,3.852,2.597,4.377,3.711,3.461,3.656,8.792
21,hbase,1,1000000,a,22,10-09-21 21:20:36,10-09-21 21:24:04,208.0,4.5,3.823,3.625,3.441,20.414,5.849,3.401,3.755,3.975,2.759,3.647,3.412,3.519,3.581,10.221
22,hbase,1,1000000,a,23,10-09-21 21:34:43,10-09-21 21:37:45,182.0,4.948,3.63,4.059,3.9,10.679,5.637,3.523,3.873,3.963,2.74,4.338,3.723,3.872,3.87,12.008
23,hbase,1,1000000,a,24,10-09-21 21:48:31,10-09-21 21:55:48,437.0,5.223,6.926,10.823,4.086,19.216,5.703,3.47,4.195,4.351,2.685,4.089,4.195,4.014,4.444,12.949
24,hbase,1,1000000,a,25,10-09-21 22:09:35,10-09-21 22:13:17,222.0,5.035,3.999,3.802,3.801,12.493,5.802,3.309,4.075,4.09,2.696,4.268,3.919,3.778,4.001,10.233
25,hbase,1,1000000,a,26,10-09-21 22:24:15,10-09-21 22:27:37,202.0,5.921,4.496,4.806,4.581,12.035,5.724,3.73,4.652,4.871,2.674,4.288,4.506,4.332,4.936,12.765
26,hbase,1,1000000,a,27,10-09-21 22:37:49,10-09-21 22:42:24,275.0,5.385,4.352,4.475,4.018,12.376,5.756,3.477,4.228,4.554,2.681,4.008,4.115,3.931,4.127,12.264
27,hbase,1,1000000,a,28,10-09-21 22:52:35,10-09-21 22:55:54,199.0,6.473,3.99,3.79,3.687,10.225,5.738,3.312,4.092,4.049,2.636,5.083,3.742,3.77,3.788,14.959
28,hbase,1,1000000,a,29,10-09-21 23:06:18,10-09-21 23:09:17,179.0,5.027,4.106,3.587,3.969,11.389,5.949,3.123,3.657,12.87,2.655,10.144,3.512,9.087,3.531,7.711
29,hbase,1,1000000,a,30,10-09-21 23:19:51,10-09-21 23:23:33,222.0,9.433,12.592,6.157,3.855,16.766,6.016,15.566,4.145,4.195,2.713,3.85,3.676,21.789,3.923,14.336
30,hbase,1,1000000,b,1,10-09-21 16:01:16,10-09-21 16:04:52,216.0,5.294,5.273,10.491,5.151,11.904,5.823,3.535,5.046,4.763,2.985,4.443,4.496,4.152,4.379,8.862
31,hbase,1,1000000,b,2,10-09-21 16:14:46,10-09-21 16:17:37,171.0,5.43,5.111,5.7,5.049,9.749,5.664,3.417,5.074,4.672,2.756,3.863,4.114,4.079,4.25,7.133
32,hbase,1,1000000,b,3,10-09-21 16:27:10,10-09-21 16:31:34,264.0,5.489,5.256,6.389,4.992,16.68,5.736,3.487,4.953,4.761,2.702,3.893,4.348,3.992,4.217,11.898
33,hbase,1,1000000,b,4,10-09-21 16:41:40,10-09-21 16:45:09,209.0,4.142,23.384,3.114,3.296,77.836,5.889,2.826,7.176,33.65,5.666,26.86,17.149,3.117,3.076,29.752
34,hbase,1,1000000,b,5,10-09-21 16:56:43,10-09-21 17:00:28,225.0,4.651,3.906,3.656,3.771,43.133,5.849,3.247,3.75,3.874,2.762,3.656,3.649,4.384,3.603,5.186
35,hbase,1,1000000,b,6,10-09-21 17:10:30,10-09-21 17:15:07,277.0,5.578,5.75,4.696,5.163,12.773,5.697,3.948,5.256,5.073,2.738,4.526,4.471,4.384,4.451,7.49
36,hbase,1,1000000,b,7,10-09-21 17:26:39,10-09-21 17:35:50,551.0,15.729,12.752,9.934,8.05,20.791,5.609,3.486,14.437,14.494,2.685,10.228,7.011,5.303,7.46,14.658
37,hbase,1,1000000,b,8,10-09-21 17:49:09,10-09-21 17:53:26,257.0,8.016,4.597,10.096,4.536,9.665,5.761,3.503,13.794,6.707,2.656,9.67,3.777,4.648,4.086,6.21
38,hbase,1,1000000,b,9,10-09-21 18:04:04,10-09-21 18:07:01,177.0,4.735,4.132,10.282,4.095,6.455,5.605,3.271,4.208,3.942,2.69,6.457,3.743,3.496,3.644,5.39
39,hbase,1,1000000,b,10,10-09-21 18:16:45,10-09-21 18:20:17,212.0,5.258,4.789,7.537,4.729,4.545,5.744,3.466,4.651,4.277,2.667,3.984,3.9,3.764,3.788,4.131
40,hbase,1,1000000,b,11,10-09-21 18:29:59,10-09-21 18:33:28,209.0,5.649,5.254,8.481,5.467,5.072,5.655,3.585,4.634,4.811,2.67,4.017,4.174,4.269,4.197,7.172
