index,database,replication_factor,recordcount,workload,execution,start,end,duration,rpi3_01,rpi3_02,rpi3_03,rpi3_04,rpi3_05,rpi3_06,rpi3_07,rpi3_08,rpi3_09,rpi3_10,rpi3_11,rpi3_12,rpi3_13,rpi3_14,rpi3_15
0,hbase,1,1000000,a,1,10-09-21 15:55:16,10-09-21 16:00:16,300.0,317.899,1809.576,0.0,0.0,0.0,0.0,0.0,183.403,6724.74,0.0,0.0,4206.083,1430.666,0.0,1430.543
1,hbase,1,1000000,a,2,10-09-21 16:10:34,10-09-21 16:13:46,192.0,273.067,946.631,0.0,0.0,0.0,0.0,0.0,0.0,3021.938,0.0,0.0,1638.4,764.576,0.0,928.427
2,hbase,1,1000000,a,3,10-09-21 16:23:07,10-09-21 16:26:10,183.0,0.0,228.614,0.0,0.0,0.0,0.0,0.0,0.0,3448.26,0.0,0.0,742.995,209.605,0.0,1924.167
3,hbase,1,1000000,a,4,10-09-21 16:37:10,10-09-21 16:40:40,210.0,0.0,3527.626,0.0,0.0,32768.0,0.0,0.0,0.0,2407.445,0.0,8141.845,501.551,16.718,0.0,284.212
4,hbase,1,1000000,a,5,10-09-21 16:51:12,10-09-21 16:55:43,271.0,10300.433,12475.938,40570.544,0.0,9749.823,0.0,25019.174,0.0,5680.682,0.0,16088.556,0.0,40.289,0.0,15229.062
5,hbase,1,1000000,a,6,10-09-21 17:06:43,10-09-21 17:09:30,167.0,37498.88,22937.6,0.0,0.0,37478.4,0.0,32931.84,0.0,17305.6,0.0,38236.545,0.0,0.0,0.0,34590.72
6,hbase,1,1000000,a,7,10-09-21 17:21:07,10-09-21 17:25:39,272.0,7789.115,4821.193,0.0,0.0,4297.443,0.0,7238.505,0.0,3088.827,0.0,5385.233,0.0,13.43,0.0,8729.18
7,hbase,1,1000000,a,8,10-09-21 17:42:59,10-09-21 17:48:09,310.0,5770.017,4155.436,0.0,0.0,4464.046,0.0,3348.035,0.0,1792.742,0.0,6411.13,0.0,0.0,0.0,7539.014
8,hbase,1,1000000,a,9,10-09-21 17:59:08,10-09-21 18:03:04,236.0,4156.681,2139.15,0.0,0.0,4156.184,0.0,1274.311,0.0,1016.649,0.0,1835.569,0.0,0.0,0.0,2791.348
9,hbase,1,1000000,a,10,10-09-21 18:12:39,10-09-21 18:15:45,186.0,1843.2,1563.927,0.0,0.0,1899.055,0.0,912.291,0.0,279.273,0.0,1452.218,0.0,0.0,0.0,1526.691
10,hbase,1,1000000,a,11,10-09-21 18:25:57,10-09-21 18:28:59,182.0,1143.07,0.0,0.0,0.0,2667.163,0.0,285.767,0.0,438.177,0.0,2514.753,0.0,0.0,0.0,2514.753
11,hbase,1,1000000,a,12,10-09-21 18:39:05,10-09-21 18:42:54,229.0,1417.846,0.0,0.0,0.0,1701.415,0.0,236.308,0.0,173.292,0.0,1433.6,0.0,0.0,0.0,661.662
12,hbase,1,1000000,a,13,10-09-21 18:53:27,10-09-21 18:56:18,171.0,39101.815,99.902,93169.015,19.98,0.0,0.0,899.122,162321.483,4395.707,0.0,12068.215,8991.0,19.984,212710.205,23896.663
13,hbase,1,1000000,a,14,10-09-21 19:06:41,10-09-21 19:10:02,201.0,50860.119,44794.553,0.0,0.0,2387.881,0.0,0.0,49709.753,9777.648,0.0,9865.26,14815.389,19504.051,0.0,27033.6
14,hbase,1,1000000,a,15,10-09-21 19:20:57,10-09-21 19:25:49,292.0,20177.526,21085.358,0.0,0.0,1197.292,0.0,0.0,21917.139,5394.117,0.0,5305.895,5091.653,8709.084,0.0,10221.095
15,hbase,1,1000000,a,16,10-09-21 19:36:40,10-09-21 19:48:24,704.0,2786.395,7562.278,0.0,0.0,256.348,0.0,0.0,6564.744,752.327,0.0,2496.61,1850.089,4335.65,0.0,3393.829
16,hbase,1,1000000,a,17,10-09-21 20:09:14,10-09-21 20:12:27,193.0,1037.653,2348.373,0.0,0.0,0.0,0.0,0.0,1874.945,273.067,0.0,946.631,291.275,1820.459,0.0,1565.582
17,hbase,1,1000000,a,18,10-09-21 20:22:44,10-09-21 20:26:58,254.0,646.737,1480.309,0.0,0.0,0.0,0.0,0.0,776.127,215.579,0.0,0.0,1235.9,589.206,0.0,215.579
18,hbase,1,1000000,a,19,10-09-21 20:37:59,10-09-21 20:41:56,237.0,0.0,0.0,0.0,0.0,182.044,0.0,0.0,819.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,hbase,1,1000000,a,20,10-09-21 20:52:53,10-09-21 20:56:34,221.0,240.941,16095.015,0.0,0.0,23226.729,0.0,0.0,738.886,17155.012,0.0,108471.718,7918.689,3549.915,16.063,52364.549
20,hbase,1,1000000,a,21,10-09-21 21:07:05,10-09-21 21:10:10,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35113.891,35058.279,2569.194,0.0,4468.364
21,hbase,1,1000000,a,22,10-09-21 21:20:36,10-09-21 21:24:04,208.0,0.0,0.0,24302.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21265.067,16128.103,17.07,0.0,1672.533
22,hbase,1,1000000,a,23,10-09-21 21:34:43,10-09-21 21:37:45,182.0,0.0,0.0,22899.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16766.137,18060.323,0.0,0.0,1790.809
23,hbase,1,1000000,a,24,10-09-21 21:48:31,10-09-21 21:55:48,437.0,0.0,0.0,14858.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13211.779,14144.367,0.0,0.0,958.638
24,hbase,1,1000000,a,25,10-09-21 22:09:35,10-09-21 22:13:17,222.0,0.0,0.0,10938.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5798.651,5847.006,0.0,0.0,257.004
25,hbase,1,1000000,a,26,10-09-21 22:24:15,10-09-21 22:27:37,202.0,0.0,0.0,9412.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8854.332,5350.85,0.0,0.0,871.489
26,hbase,1,1000000,a,27,10-09-21 22:37:49,10-09-21 22:42:24,275.0,0.0,0.0,5496.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4307.406,2735.042,0.0,0.0,528.516
27,hbase,1,1000000,a,28,10-09-21 22:52:35,10-09-21 22:55:54,199.0,17.809,0.0,3187.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.357,2778.089,0.0,0.0,12003.061
28,hbase,1,1000000,a,29,10-09-21 23:06:18,10-09-21 23:09:17,179.0,3842.438,0.0,1755.429,0.0,0.0,0.0,0.0,0.0,131208.533,0.0,5695.39,6787.724,0.0,36356.876,0.0
29,hbase,1,1000000,a,30,10-09-21 23:19:51,10-09-21 23:23:33,222.0,2569.68,26744.471,0.0,21122.51,0.0,0.0,32.125,0.0,10055.278,0.0,32558.95,3887.04,108568.094,28511.373,0.0
30,hbase,1,1000000,b,1,10-09-21 16:01:16,10-09-21 16:04:52,216.0,245.76,2932.736,0.0,0.0,0.0,0.0,0.0,0.0,5128.192,0.0,0.0,3030.981,983.04,0.0,1179.648
31,hbase,1,1000000,b,2,10-09-21 16:14:46,10-09-21 16:17:37,171.0,899.122,899.182,0.0,0.0,0.0,0.0,0.0,299.707,3836.254,0.0,0.0,2337.777,1298.624,0.0,1558.478
